case	name	album	album2	year
-sweetermanremix.html.txt	sweetermanremix	Other		
-takeyoudown.html.txt	takeyoudown	Other		
-talkischeap.html.txt	talkischeap	Other		
-themottoremix.html.txt	themottoremix	Other		
-thesedays.html.txt	thesedays	Other		
-trophies.html.txt	trophies	Other		
-trustissues.html.txt	trustissues	Other		
-twobirdsonestone.html.txt	twobirdsonestone	Other		
-wannaknowremix.html.txt	wannaknowremix	Other		
-wemadeitfreestyle.html.txt	wemadeitfreestyle	Other		
-whatifikissedyou.html.txt	whatifikissedyou	Other		
-whatyouneed.html.txt	whatyouneed	Other		
-wherewereyou.html.txt	wherewereyou	Other		
-wutangforeverremix.html.txt	wutangforeverremix	Other		
-yamahamama.html.txt	yamahamama	Other		
-zone.html.txt	zone	Other		
